"","newdata.code1","newdata.code2","fit_value","fit_exp"
"22557","TCD","BLZ",-14.1119995725561,7.43423794033052e-07
"22558","TCD","SLV",-11.2398167613838,1.31404307825667e-05
"22559","TCD","DJI",-11.5451810183486,9.6825910857283e-06
"22560","TCD","PAK",-7.27632259859706,0.000691724641394167
"22561","TGO","NIC",-10.6915410511869,2.27364532562858e-05
"22562","TGO","PRY",-12.9422974973368,2.39459247696128e-06
"22563","TGO","RUS",-6.8357122710389,0.00107470156377375
"22564","TGO","MOZ",-8.38718536043998,0.000227767460299515
"22565","TGO","AZE",-12.3203672299009,4.45997574672578e-06
"22566","TGO","MKD",-13.73985058118,1.0785957641987e-06
"22567","TGO","GRD",-14.2474610126652,6.49241542754684e-07
"22568","TGO","TZA",-7.41922663115932,0.000599612688015916
"22569","TGO","ARE",-9.74639895776339,5.85049636994115e-05
"22570","TGO","KWT",-10.3125168905762,3.32147371465271e-05
"22571","TGO","MDG",-8.43823621678241,0.000216431552166949
"22572","TGO","TTO",-11.7281132905456,8.06389965293167e-06
"22573","TGO","HUN",-12.1168285150434,5.46673771607653e-06
"22574","TGO","IRL",-10.2102565497265,3.67910278946223e-05
"22575","TGO","JAM",-11.4726861316579,1.04105990469392e-05
"22576","TGO","KHM",-9.70873221287694,6.07506842230035e-05
"22577","TGO","TKM",-12.9213125639443,2.44537379839358e-06
"22578","TGO","LBR",-8.7070528454449,0.000165415040494191
"22579","TGO","BGD",-7.53732032719497,0.000532823503148555
"22580","TGO","ISR",-9.33897452746259,8.79295592177555e-05
"22581","TGO","BTN",-15.4902204500573,1.87362526948794e-07
"22582","TGO","BHS",-13.2150464958771,1.82296457287436e-06
"22583","TGO","ZMB",-11.6296108836124,8.89865084103267e-06
"22584","TGO","DZA",-7.87948015217426,0.000378429731530858
"22585","TGO","COD",-6.13731254310591,0.00216072267149433
"22586","TGO","ITA",-7.3611541709443,0.000635464601342068
"22587","TGO","VEN",-8.71299405678729,0.000164435188415778
"22588","TGO","AUT",-12.1453565053803,5.312986213395e-06
"22589","TGO","URY",-10.8809914649299,1.88124539193131e-05
"22590","TGO","SYR",-9.34987822404096,8.69760100365641e-05
"22591","TGO","MUS",-11.9269219360076,6.61003283917689e-06
"22592","TGO","OMN",-10.2449661058818,3.55359354997448e-05
"22593","TGO","GMB",-10.2621411094815,3.49308170105189e-05
"22594","TGO","MDA",-13.3982443364031,1.51780653197788e-06
"22595","TGO","IND",-5.13285216894333,0.00589970948600274
"22596","TGO","BEN",-3.67350887184195,0.0253872329308374
"22597","TGO","FJI",-13.7018652545881,1.12035466838174e-06
"22598","TGO","EGY",-7.16984562747073,0.000769441502690232
"22599","TGO","HRV",-10.3506481571952,3.19720601395592e-05
"22600","TGO","SWE",-9.49720873940514,7.50610527127929e-05
"22601","TGO","SAU",-8.34586231526114,0.000237376679094779
"22602","TGO","GNB",-9.96136256731866,4.71883948550763e-05
"22603","TGO","MAR",-7.66708747299162,0.000467978841756041
"22604","TGO","LUX",-14.5552443947899,4.77240922576864e-07
"22605","TGO","KOR",-8.79181992929093,0.000151971139130028
"22606","TGO","ESP",-7.51020817298503,0.000547467108988503
"22607","TGO","LCA",-13.9488817988677,8.75140143977806e-07
"22608","TGO","AGO",-6.93522194151525,0.000972907116271596
"22609","TGO","UZB",-11.5014741465149,1.01151713579432e-05
"22610","TGO","GNQ",-9.42133637437059,8.09777304045087e-05
"22611","TGO","SVK",-12.7677820974896,2.85116721760507e-06
"22612","TGO","HTI",-10.0490484807129,4.32268606896508e-05
"22613","TGO","NOR",-10.0627302638387,4.26394676117088e-05
"22614","TGO","UGA",-10.3799840823151,3.10477541499476e-05
"22615","TGO","KGZ",-13.356792457931,1.58204466157857e-06
"22616","TGO","NAM",-10.6957514871705,2.26409241261273e-05
"22617","TGO","ARG",-8.37503403812949,0.000230552019899374
"22618","TGO","COL",-8.33892083879459,0.000239030155872225
"22619","TGO","CHE",-11.9365830656062,6.54647994595682e-06
"22620","TGO","JPN",-7.91317860031821,0.000365889713093296
"22621","TGO","BGR",-9.5110541674583,7.40289616662751e-05
"22622","TGO","YEM",-9.08987086691294,0.000112802634134932
"22623","TGO","POL",-8.15344359012795,0.000287742783387926
"22624","TGO","CPV",-11.7833094767809,7.63086403873711e-06
"22625","TGO","SGP",-10.7621826778024,2.11857308121301e-05
"22626","TGO","EST",-11.6166185801368,9.01501912238745e-06
"22627","TGO","SYC",-14.2828849332709,6.26645445911598e-07
"22628","TGO","LBN",-10.0920656177494,4.14067926156603e-05
"22629","TGO","GEO",-10.7469484354077,2.15109503172385e-05
"22630","TGO","CIV",-6.1982842504276,0.00203291561986678
"22631","TGO","ECU",-9.52638435616311,7.290273837857e-05
"22632","TGO","USA",-6.41615963543205,0.00163492289391162
"22633","TGO","BOL",-12.648538528908,3.21225129413478e-06
"22634","TGO","IRQ",-8.68332459937895,0.000169386986576509
"22635","TGO","GRC",-9.15129625599955,0.000106082203890815
"22636","TGO","NPL",-11.6049180304368,9.12111930646498e-06
"22637","TGO","BWA",-13.5150156178557,1.35052707220269e-06
"22638","TGO","ZAF",-7.7910917620274,0.000413401301670166
"22639","TGO","MLT",-12.1593913463789,5.23894012464569e-06
"22640","TGO","CAF",-11.7842985154802,7.62332054991e-06
"22641","TGO","UKR",-9.21910021048839,9.91278417087382e-05
"22642","TGO","SVN",-10.7988495837782,2.04229848349292e-05
"22643","TGO","CHN",-5.17165717652291,0.00567515628649775
"22644","TGO","DNK",-9.95972295057378,4.72658292014222e-05
"22645","TGO","ZWE",-11.1793355730099,1.3959705274289e-05
"22646","TGO","LVA",-11.9597481629958,6.3965731072543e-06
"22647","TGO","VCT",-14.457697887015,5.26140322477647e-07
"22648","TGO","MRT",-9.63396488454426,6.54669655991319e-05
"22649","TGO","BIH",-11.0781065532276,1.54468330961376e-05
"22650","TGO","CZE",-11.9730648760144,6.31195643729075e-06
"22651","TGO","VNM",-7.90832061936162,0.000367671522846417
"22652","TGO","ALB",-10.6567523472553,2.35413443813487e-05
"22653","TGO","CAN",-8.54423867498775,0.000194663394117101
"22654","TGO","IDN",-7.10008278177822,0.000825036622440207
"22655","TGO","PAK",-7.29853090498915,0.000676531935182689
"22656","TGO","TUN",-9.16686951336223,0.00010444295577436
"22657","TGO","MNG",-14.4380797950295,5.3656410476702e-07
"22658","TGO","THA",-8.17568957605069,0.000281412336067837
"22659","TGO","MYS",-9.18710916398745,0.000102350315429832
"22660","TGO","TUR",-7.4813245238344,0.000563510537914833
"22661","TGO","NLD",-8.70272577496357,0.000166132353846579
"22662","TGO","PER",-8.73481757507559,0.000160885508211112
"22663","TGO","PHL",-8.41849469420675,0.000220746694133118
"22664","TGO","BLZ",-13.6719243824134,1.15440628811865e-06
"22665","TGO","BEL",-9.30911420518222,9.0594758011474e-05
"22666","TGO","FIN",-10.2326863968821,3.59749967014085e-05
"22667","TGO","FRA",-7.40903946551365,0.000605752261119951
"22668","TGO","BLR",-12.3671730611025,4.25603296209205e-06
"22669","TGO","NZL",-11.4683329866108,1.04560166776628e-05
"22670","TGO","BHR",-11.3104086062773,1.22448072809252e-05
"22671","TGO","LKA",-9.60010087480464,6.7721904712375e-05
